edit_id,allow-routing,associated-interface,color,comment,country,dirty,end-ip,fqdn,macaddr,obj-tag,obj-type,start-ip,sub-type,subnet,tag-type,type,uuid
securemail.cat.com,enable,,10,,,,,securemail.cat.com,,,,,,,,fqdn,6ca78c3a-e01d-51ee-1f9a-21c8b75fe2e6
server_192.168.42.12,,,,,,,,,,,,,,"192.168.42.12, 255.255.255.255",,,00b021c8-95ac-51ef-e6ba-eacd94fe5ea8
server_192.168.42.17,,,,,,,,,,,,,,"192.168.42.17, 255.255.255.255",,,6367e858-7439-51ef-8408-5eba57b79ad6
server_192.168.42.18,,,,,,,,,,,,,,"192.168.42.18, 255.255.255.255",,,80a94d58-7439-51ef-e61c-2b8ab18f1603
server_192.168.42.19,,,,,,,,,,,,,,"192.168.42.19, 255.255.255.255",,,9578a2a6-7439-51ef-87be-460fdaf9630f
server_192.168.42.6,,,,,,,,,,,,,,"192.168.42.6, 255.255.255.255",,,796b536c-7446-51ef-7531-30323e2f2bdb
server_192.168.42.60,,,,,,,,,,,,,,"192.168.42.60, 255.255.255.255",,,d6976a40-6ae8-51f1-32f6-637a0282773a
server_192.168.42.9,,,,,,,,,,,,,,"192.168.42.17, 255.255.255.255",,,115181de-95ac-51ef-3751-c88b4fa2888d
test192.168.0.140,enable,,,,,,,,,,,,,"192.168.0.140, 255.255.255.255",,,dca37806-01e6-51ef-62b9-398635276e8e
test192.168.0.216,enable,,,,,,,,,,,,,"192.168.0.216, 255.255.255.255",,,e61cc5be-e273-51ee-e48a-8d73a4026acf
test_192.168.0.147,,,,,,,,,,,,,,"192.168.0.147, 255.255.255.255",,,bd1286ee-020e-51ef-7383-905465c23b47
toDOSSB_KSB_local_subnet_1,enable,,,,,,,,,,,,,,,,2dd44738-45d2-51ec-7a01-3486278bcfc6
toDOSSB_KSB_remote_subnet_1,enable,,,,,,,,,,,,,,,,2ddf4fd4-45d2-51ec-43a0-358e68927c5a
to_CKJ_unifi_local_subnet_1,enable,,,,,,,,,,,,,"192.168.42.0, 255.255.255.0",,,998f3314-f158-51e9-7663-581f102c35c3
to_CKJ_unifi_remote_subnet_1,enable,,,,,,,,,,,,,"192.168.14.0, 255.255.255.0",,,99a1558a-f158-51e9-0068-137919001f33
to_DOSSB_Miri_local_subnet_1,enable,,,,,,,,,,,,,,,,2b6609e2-5785-51ea-f2f7-b56ca4ad71cc
to_DOSSB_Miri_remote_subnet_1,enable,,,,,,,,,,,,,,,,2b6b4f7e-5785-51ea-4a4f-fc9c8d445d93
trust_dhcp,,,,,,,192.168.1.250,,,,,192.168.0.101,,,,iprange,30a7e6ee-abb5-51ea-084f-642904f953cd
trust_dhcp_reserved,,,,,,,192.168.1.250,,,,,192.168.1.249,,,,iprange,acda979c-5f80-51ea-bd1c-36d7c2df9d52
trust_fixed_IP,,,,,,,192.168.0.100,,,,,192.168.0.1,,,,iprange,b38c03de-5f7e-51ea-ec11-b6224427e6f1
unifi,,,,,,,,,,,,,,"60.53.219.65, 255.255.255.255",,,e0e28382-666c-51e9-076d-dba21f5b06ad
vpn.deleum.com,enable,,,,,,,vpn.deleum.com,,,,,,,,fqdn,1cd31c9a-bff3-51ea-9530-90b8449aef54
vpn.deleum.com_publicIP,,,,,,,,,,,,,,"60.53.219.70, 255.255.255.255",,,b2a20958-f648-51ea-2f34-eb7ea19ff5cc
vpnPulse_175.138.64.172,,,,,,,,,,,,,,"175.138.64.172, 255.255.255.255",,,e785b448-f649-51ea-2ab3-51b93b03b6e7
wildcard.dropbox.com,,,,,,,,*.dropbox.com,,,,,,,,fqdn,6c9884b8-725c-51ed-a4f0-1485cf802603
wildcard.google.com,,,,,,,,*.google.com,,,,,,,,fqdn,6c98833c-725c-51ed-355d-a4a5f406cc21
