edit_id,action,application-list,auto-asic-offload,av-profile,comments,dstaddr,dstintf,groups,inspection-mode,internet-service,internet-service-name,ips-sensor,logtraffic,name,nat,np-acceleration,port-preserve,schedule,service,srcaddr,srcintf,ssl-ssh-profile,status,timeout-send-rst,users,utm-status,uuid,webfilter-profile,ztna-ems-tag,ztna-status
190,accept,,,,Clone of 188,DPSB_TK_new_192.168.7.0/24,toTKY_secondary,,,,,default,all,,,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,,,,enable,91439df2-fbba-51ec-75c6-e79368af1d11,,,
191,accept,,,,Clone of vpn_to_CKJ_unifi_local,DPSB_TK_new_192.168.7.0/24,to_TKY,,,,,,all,,,,,always,ALL,Server-192.168.42.0/24,port10,,,,,,b728b8e0-fbba-51ec-2327-8866980e8028,,,
192,accept,,,,Clone of 191,DPSB_TK_new_192.168.7.0/24,toTKY_secondary,,,,,,,,,,,always,ALL,Server-192.168.42.0/24,port10,,,,,,d701eef2-fbba-51ec-9b52-2ee449431200,,,
193,accept,,,,Clone of 108,DPSB_TK_new_192.168.7.0/24,to_TKY,SSL_VPN_HQ,,,,,,,,,,always,ALL,SSL_VPN_HQ,ssl.root,,,,,,f29d50ac-fbba-51ec-e1e0-81f0961e3ae2,,,
194,accept,,,,Clone of 193,DPSB_TK_new_192.168.7.0/24,toTKY_secondary,SSL_VPN_HQ,,,,,,,,,,always,ALL,SSL_VPN_HQ,ssl.root,,,,,,11aa6f02-fbbb-51ec-8a41-3d9d4bc50c56,,,
195,accept,,,,Clone of 131,DPSB_TK_new_192.168.7.0/24,to_TKY,,,,,high_security,,,,,,always,ALL,trust_dhcp,port9,certificate-inspection,disable,,,enable,a9476dd8-fbbb-51ec-009d-93ff107267b8,,,
196,accept,,,,Clone of 195,DPSB_TK_new_192.168.7.0/24,toTKY_secondary,DeleumHQ_SSO_user,,,,high_security,,,,,,always,ALL,trust_dhcp,port9,certificate-inspection,,,,enable,e1b04906-fbbb-51ec-004a-f1b7992e7322,,,
197,accept,,,,Reverse of 192,Server-192.168.42.0/24,port10,,,,,default,all,,,,,always,ALL,DPSB_TK_new_192.168.7.0/24,toTKY_secondary,certificate-inspection,,,,enable,01d00e06-fbbc-51ec-f842-9a2c61a50722,,,
198,accept,,,,Reverse of 191,Server-192.168.42.0/24,port10,,,,,default,all,,,,,always,ALL,DPSB_TK_new_192.168.7.0/24,to_TKY,certificate-inspection,,,,enable,16641ab0-fbbc-51ec-f5d6-8780fee0f827,,,
199,accept,,,,Reverse of 187,FAZ200F_192.168.30.2,port5,,,,,,disable,,,,,always,ALL,DPSB_TK_new_192.168.7.0/24,to_TKY,,,,,,409ebc4a-fbbc-51ec-a75c-39843d9b1ea1,,,
20,accept,,,,,Biometric-192.168.10.0/24,port8,,,,,,all,,,,,always,ALL,Server-192.168.42.0/24,port10,,disable,,,,abcac42a-673e-51e9-b0ff-9f829497d87a,,,
200,accept,,,,Reverse of 189,FAZ200F_192.168.30.2,port5,,,,,,disable,,,,,always,ALL,DPSB_TK_new_192.168.7.0/24,toTKY_secondary,,,,,,4d40860e-fbbc-51ec-cbe7-f618690414f2,,,
201,accept,,,,Clone of 173,DOSSB_KSB-192.168.4.0/24,toKSB_secondary,,,,,,all,,,,,always,ALL,Server-192.168.42.0/24,port10,,,,,,ea6c9ad0-174b-51ed-e929-74e69512b821,,,
202,accept,,,,Clone of 175,DOSSB_KSB-192.168.4.0/24,toKSB_secondary,SSL_VPN_HQ,,,,,,,,,,always,ALL,SSL_VPN_HQ,ssl.root,,,,,,eeec2aee-174b-51ed-1193-84248a9999e3,,,
